Module Name,CentOS 7,Rocky Linux 8,Comments
java/17,,yes,New version
Jellyfish/2.3.0,yes,yes,''
jsoncpp/1.9.4,yes,yes,''
jsoncpp/1.9.5,,yes,New version
julia/1.5.1,yes,yes,''
julia/1.6.0,yes,yes,''
julia/1.7.1,,yes,New version
julia/1.8.2,,yes,New version
kallisto/0.46.2,yes,yes,''
kallisto/0.48.0,,yes,New version
kneaddata/0.10.0,yes,yes,''
kraken2/2.1.1,yes,yes,''
kraken2/2.1.2,,yes,New version
lammps/3Mar2020/gcc.8.4.0,yes,yes,''
lammps/29Sep2021/gcc.11.2.0,,yes,New version
lapack/3.9.0,yes,yes,''
libdeflate/1.10,,yes,New version
libjpeg/9d,yes,yes,''
libpng/1.6.37,yes,yes,''
likwid/5.0.1,yes,yes,''
likwid/5.2.1,,yes,New version
llvm/9.0.1,yes,yes,''
llvm/10.0.0,yes,:red:`NO`,Unused
llvm/11.1.0,,yes,New version
llvm/13.0.0,,yes,New version
loompy/3.0.6,yes,yes,''
lz4/1.9.3,,yes,New version
macs/2.2.7.1,yes,yes,''
mafft/7.471,yes,yes,''
